ID,Naslov,Godina,Žanr,Trajanje,Država,Ocjena
2,Bugs Bunny's Third Movie,1982,Animacija,76,SAD,7.7
3,18 anni tra una settimana,1991,Drama,98,Italija,6.5
17,Ride a Wild Pony,1976,Romantični,91,SAD,5.7
18,Diner,1982,Komedija,95,SAD,7.0
20,A che servono questi quattrini?,1942,Komedija,85,Italija,5.9
22,A ciascuno il suo,1967,Drama,93,Italija,7.6
23,Dead-Bang,1989,Krimić,109,SAD,6.0
24,A... come assassino,1966,Triler,80,Italija,5.2
26,At Close Range,1986,Drama,115,SAD,7.5
30,A Ghentar si muore facile,1968,Avantura,101,Italija,4.8
32,Sleeping with the Enemy,1990,Drama,96,SAD,5.0
34,In Bed With Madonna,1990,Dokumentarni,111,SAD,5.3
36,Bowery at Midnight,1942,Horor,62,SAD,5.1
37,A mezzanotte va la ronda del piacere,1975,Komedija,100,Italija,5.8
38,Mr. Majestyk,1974,Akcija,105,SAD,6.2
45,Warning Sign,1985,Akcija,99,SAD,4.8
47,About Last Night,1986,Komedija,113,SAD,5.9
49,Fail-Safe,1964,Drama,110,SAD,8.2
51,Some Like It Hot,1959,Komedija,120,SAD,9.1